config_id,dim_model,num_heads,num_layers,dim_ff,dropout,patch_size,train_acc,val_acc,test_acc
set1,192,8,8,768,0.1,4,91.27333333333333,79.88,81.22
set2,192,8,8,768,0.1,2,88.39555555555556,75.32,76.61
set3,192,6,8,768,0.1,8,81.06222222222222,75.08,75.84
set4,128,4,6,512,0.1,4,84.48222222222222,78.58,79.29
set5,256,8,10,1024,0.1,4,91.67111111111112,79.68,81.07
set6,128,4,8,1024,0.1,4,87.01777777777778,79.4,80.6
set7,128,4,12,768,0.1,4,87.16666666666667,79.22,80.62
set8,192,8,8,768,0.3,4,79.32444444444444,74.3,75.89
set9,192,4,8,768,0.1,4,90.56444444444445,80.0,80.36
set10,192,6,12,1024,0.3,4,79.40666666666667,74.6,75.76
set11,256,8,12,1024,0.1,8,85.10888888888888,75.16,76.08
