config_id,d_model,num_heads,num_layers,dim_ff,dropout,patch_size,lambda,train_acc,val_acc,test_acc
diff_set1,192,8,8,768,0.1,4,0.5,90.89111111111112,78.28,79.64
diff_set2,192,6,8,768,0.1,8,0.5,79.95555555555555,73.88,73.68
diff_set3,128,4,6,512,0.1,4,0.5,82.30666666666667,76.3,77.46
diff_set4,256,8,10,1024,0.1,4,0.5,93.29333333333334,78.14,79.45
diff_set5,128,4,8,1024,0.1,4,0.5,84.8711111111111,77.3,78.04
diff_set6,128,4,12,768,0.1,4,0.5,86.58222222222223,78.34,78.83
diff_set7,192,8,8,768,0.3,4,0.5,75.84666666666666,70.94,71.93
diff_set8,192,4,8,768,0.1,4,0.5,89.96666666666667,79.1,79.69
diff_set9,192,6,12,1024,0.3,4,0.5,75.46,72.24,72.22
diff_set10,256,8,12,1024,0.1,8,0.5,84.4088888888889,74.04,74.96
